ResourceID,Activity Type,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Cadastral Reference,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,From Date,Geometry Qualifier,Keyword,Name,Name Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,To Date
468ae0c0-116c-0138-9149-740f24312a1c,,Postal Address,St. John,Parish,,,,,,Listed building,Government of Jersey,JN0060,,,Richmond Map,2 Quarryside Cottages,,"2 Quarryside Cottages, La Route du Mont Mado ",,0500060,GEOMETRYCOLLECTION (POINT (-2.126162 49.245617)),,,
2ef4afb0-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0249,,,Place of Worship,St Matthew's Church,,"St Matthew's Church, La Rue de la Ville au Bas",,1000249,GEOMETRYCOLLECTION (POINT (-2.158136 49.224974)),,,
b3684770-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0071,,,,Le Vallon,,"Le Vallon, La Rue de la Roulerie",,1200071,GEOMETRYCOLLECTION (POINT (-2.091679 49.211013)),,,
04593d00-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0567,,,,21,,"21, Cleveland Road",,0400567,GEOMETRYCOLLECTION (POINT (-2.099639 49.178962)),,,
04533310-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0400,,,,5-6,,"5-6, Pitt Street",,0400400,GEOMETRYCOLLECTION (POINT (-2.10858 49.185379)),,,
061f9a40-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,Listed building,Government of Jersey,MN0110,,,,Surville Farm,,"Surville Farm, La Rue de L'Orme",,0700110,GEOMETRYCOLLECTION (POINT (-2.046257 49.212451)),,,
fc883eb0-149c-0138-c576-740f24312a1c,,Postal Address,St. Ouen,Parish,,,,,,Listed building,Government of Jersey,OU0276,,,,Highfield,,"Highfield, La Route de Vinchelez",,0900276,GEOMETRYCOLLECTION (POINT (-2.214849 49.246674)),,,
b36512a0-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0004,,,,Brabant Farm,,"Brabant Farm, La Rue de Brabant",,1200004,GEOMETRYCOLLECTION (POINT (-2.100524 49.223064)),,,
0478bae0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1513,,,,59,,"59, St Mark's Road",,0401513,GEOMETRYCOLLECTION (POINT (-2.099596 49.190476)),,,
0bd90120-116c-0138-9146-740f24312a1c,Archaeological Evaluation,Postal Address,St. Lawrence,Parish,,Work done by Finlaison in June 1983.  ,Archaeological Evaluation,,,Listed building,Government of Jersey,LA0040,,,"Manor House,Richmond Map,Place of Worship",Handois Manor,,"Handois Manor, La Route de St Jean ",,0600040,GEOMETRYCOLLECTION (POINT (-2.128778 49.231991)),,,
0449b500-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0144,,,,57,,"57, Clearview Street",,0400144,GEOMETRYCOLLECTION (POINT (-2.107501 49.191748)),,,
2ef07160-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0179,,,German Occupation,Anti Tank Wall Pzm 7 ,,"Anti Tank Wall Pzm 7 , La Route de la Haule",,1000179,GEOMETRYCOLLECTION (POINT (-2.158812 49.195654)),,,
045d0160-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0669,,,,72,,"72, Roseville Street",,0400669,GEOMETRYCOLLECTION (POINT (-2.101013 49.178101)),,,
2ef33cf0-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0272,,,Richmond Map,La Petite Nièmes Cottage,,"La Petite Nièmes Cottage, La Rue des Nièmes",,1000272,GEOMETRYCOLLECTION (POINT (-2.191051 49.216594)),,,
b36bf7f0-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0128,,,,Milestone '5 1838',,"Milestone '5 1838', La Route des Côtes du Nord",,1200128,GEOMETRYCOLLECTION (POINT (-2.066739 49.235426)),,,
0623b7f0-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,Listed building,Government of Jersey,MN0249,,,Richmond Map,La Palloterie ,,"La Palloterie , La Rue de la Palloterie",,0700249,GEOMETRYCOLLECTION (POINT (-2.049004 49.225592)),,,
f15cf660-1168-0138-9140-740f24312a1c,,Field Number,St. Mary ,Parish,,,,,,,,,,,Place of Worship,Les Monts Simon de l'ouest,,"Les Monts Simon de l'ouest, Field MY822",,0800219,GEOMETRYCOLLECTION (POINT (-2.164524 49.230536)),,,
f15a5730-1168-0138-9140-740f24312a1c,Archaeological Excavation,Postal Address,St. Mary ,Parish,,See Baal & Sinel (1915).,Archaeological Excavation,,,Listed place,Government of Jersey,MY0144,,,Megalithic,La Hougue Mauger,,"La Hougue Mauger, La Rue des Touettes",,0800144,GEOMETRYCOLLECTION (POINT (-2.174748 49.244292)),,,
